"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"SA","Unincorporated SA",132.013717651367,-31.8924770355225,0.9,3.01,3.75,8117.24,2368.94,44232.51,545.17,230.59,1780.82
"SA","Unincorporated SA",132.059448242188,-31.9186496734619,0.9,3,3.73,9925.78,2821.28,56056.58,644.39,266.11,2176.7
"NSW","Mid-Coast",152.631057739258,-31.9270057678223,0.9,2.47,3.22,867682.3,156191.92,8557982.86,513.3,233.86,1468.19
"WASouth","Stirling",115.745735168457,-31.8783321380615,0.9,2.1,3.68,38671.34,10294.13,226153.12,69.86,39.67,151.14
"WASouth","Dundas",128.533950805664,-31.8932571411133,0.9,2.96,3.87,22893.97,6411.24,125979.51,557.65,242.91,1721.75
"WASouth","Dundas",128.580505371094,-31.8804798126221,0.9,2.96,3.8,26002.93,7114.77,148086.94,756.4,315.58,2479.58
"WASouth","Dundas",128.611724853516,-31.8646335601807,0.9,2.96,3.82,22303.71,6234,123340.98,679.24,287.64,2181.36
"SA","Unincorporated SA",131.970077514648,-31.8648357391357,0.9,3,4.36,9701.42,2758.12,54855.76,146.98,74.46,374.29
"WASouth","Dundas",128.681121826172,-31.8330821990967,0.9,2.96,3.75,27328.88,7426.2,157124.79,930.65,377.74,3167.41
"SA","Unincorporated SA",131.866165161133,-31.8002967834473,0.9,2.99,4.33,12991.52,3562.21,77061.65,169.51,84.53,440.32
"SA","Unincorporated SA",131.903350830078,-31.8179912567139,0.9,3.02,4.38,7401.04,2187.03,39646.4,127,65.85,312.78
"NSW","Mid-Coast",152.739624023438,-31.8378868103027,0.9,2.47,3.61,682341.21,127700.31,6364670.56,121.34,67.18,265.92
"WASouth","Joondalup",115.724632263184,-31.7862281799316,0.9,2.09,4.48,42839.88,11122.6,260441.34,31.97,20.15,59.98
"WASouth","Dundas",128.707641601562,-31.8146839141846,0.9,2.96,4.07,26067.07,7093.59,149895.94,314.28,147.9,872.99
"WASouth","Dundas",128.745147705078,-31.7919063568115,0.9,2.96,4.19,27134.99,7253.78,160771.43,206.41,102.57,532.65
"WASouth","Dundas",128.780517578125,-31.7762622833252,0.9,2.95,4.25,28583.1,7625.71,169430.76,195.14,97.97,495.95
"WASouth","Dundas",128.817230224609,-31.7588386535645,0.9,2.96,4.2,27810.97,7412.1,165435.19,223.81,110.15,584.92
"SA","Unincorporated SA",131.816452026367,-31.7617855072021,0.9,3.01,4.69,9122.45,2618.76,50864.99,79.85,44.25,179.17
"NSW","Mid-Coast",152.768844604492,-31.7700748443604,0.9,2.46,3.45,944101.54,170006.69,9262468.58,207.67,106.65,504.87
"WASouth","Joondalup",115.711456298828,-31.7327613830566,0.9,2.08,3.42,54476.31,13747.48,343719.94,162.24,81.62,415.83
"WASouth","Dundas",128.923278808594,-31.7160186767578,0.9,2.95,4.19,29141.61,7684.52,176239.02,222.04,109.75,576.01
"WASouth","Dundas",128.980865478516,-31.6983222961426,0.9,2.96,4.18,27577.73,7328.11,165022.93,226.94,111.89,590.64
"SA","Unincorporated SA",131.749893188477,-31.7228736877441,0.9,2.99,4.61,13062.09,3557.56,78444.17,94.85,51.42,219.13
"NSW","Mid-Coast",152.789184570312,-31.7463817596436,0.9,2.46,3.56,1037930.32,184723.84,10342934.29,151.58,81.33,346.94
"WASouth","Wanneroo",115.685127258301,-31.6741313934326,0.9,2.08,3.86,53895.65,13593.66,340591.1,76.89,42.92,170.59
"SA","Unincorporated SA",129.05632019043,-31.6806087493896,0.9,2.96,4.02,26160.72,6998.61,155131.99,368.99,171.04,1043.21
"SA","Unincorporated SA",129.103088378906,-31.6748466491699,0.9,2.96,4.23,26533.81,7061.86,158695.13,232.43,113.8,611.82
"SA","Unincorporated SA",129.161315917969,-31.6735076904297,0.9,2.96,4.29,27546.13,7320.99,164793.06,231.26,113.12,610.04
"SA","Unincorporated SA",129.220596313477,-31.6642150878906,0.9,2.96,4.19,28182.67,7467.74,169287.89,309.11,145.28,861.47
"SA","Unincorporated SA",129.265991210938,-31.6626873016357,0.9,2.96,4.22,26697.3,7090.25,160234.78,281.5,133.53,775.98
"SA","Unincorporated SA",129.315948486328,-31.6522197723389,0.9,2.96,4.21,26761.38,7087.71,161406.67,285.55,135.42,786.73
"SA","Unincorporated SA",129.355773925781,-31.6487083435059,0.9,2.96,4.31,26482.7,7003.49,160265.32,233.68,113.3,626.04
"SA","Unincorporated SA",129.425933837891,-31.6450424194336,0.9,2.96,4.34,27363.8,7175.84,167829.05,221.03,107.77,588.22
"SA","Unincorporated SA",129.472854614258,-31.6405601501465,0.9,2.96,4.35,26378.69,6923.99,161883.64,216.67,105.92,574.57
"SA","Unincorporated SA",131.651901245117,-31.6733074188232,0.9,3,4.61,10921.02,3046.51,63477.1,91.09,49.72,208.41
"SA","Unincorporated SA",131.689712524414,-31.6900215148926,0.9,3,4.62,11196.33,3112.72,65382.25,88.33,48.4,200.99
"NSW","Port Macquarie-Hastings",152.797271728516,-31.7039813995361,0.9,2.46,3.38,930892.66,168291.89,9076129.25,266.58,131.06,690.71
"WASouth","Wanneroo",115.66731262207,-31.6364288330078,0.9,2.08,3.34,55762.72,13952.82,356767.81,187.05,92.38,491.5
"SA","Unincorporated SA",129.529388427734,-31.6297702789307,0.9,2.96,4.3,27122.54,7069.68,168305.34,237.77,114.84,640.85
"SA","Unincorporated SA",129.572463989258,-31.6263446807861,0.9,2.96,4.37,27771.59,7193.96,174057.9,205.7,100.92,543.69
"SA","Unincorporated SA",129.628784179688,-31.62229347229,0.9,2.96,4.4,25632.49,6682.45,159587.65,183.97,91.54,477.22
"SA","Unincorporated SA",129.693832397461,-31.6235198974609,0.9,2.96,4.46,26491.89,6857.1,166786.93,154.82,78.76,389.84
"SA","Unincorporated SA",129.735946655273,-31.6218967437744,0.9,2.96,4.45,27374.21,7039.4,174066.03,155.43,78.97,392.15
"SA","Unincorporated SA",129.787750244141,-31.6160411834717,0.9,2.95,4.41,28649.35,7327.14,183483.01,168.12,84.57,429.84
"SA","Unincorporated SA",129.832595825195,-31.6155910491943,0.9,2.96,4.34,27329.82,7006.23,174805.68,183.12,91.04,475.82
"SA","Unincorporated SA",131.550842285156,-31.6270198822021,0.9,2.98,4.53,14216.54,3820.85,87032.14,111.1,59.11,263.06
"SA","Unincorporated SA",131.594345092773,-31.6472778320312,0.9,2.98,4.51,14920.31,3988.79,91946.63,118.3,62.42,283.31
"NSW","Port Macquarie-Hastings",152.835205078125,-31.6545162200928,0.9,2.46,3.49,1018428.92,181649.7,10119897.91,182.05,94.97,433.58
"WASouth","Wanneroo",115.648307800293,-31.6077747344971,0.9,2.08,3.31,64910.94,16195.26,413851.16,225.9,108.79,614.29
"SA","Unincorporated SA",129.888397216797,-31.5991954803467,0.9,2.96,4.2,26422.93,6768.99,169605.46,228.32,110.73,612.38
"SA","Unincorporated SA",129.949752807617,-31.5961685180664,0.9,2.96,4.44,25330.26,6513.55,161910.43,156.1,79.1,395.76
"SA","Unincorporated SA",129.994247436523,-31.5926780700684,0.9,2.96,4.38,24102.19,6228.57,153150.38,162.69,82.07,414.77
"SA","Unincorporated SA",130.050231933594,-31.5961151123047,0.9,2.96,4.51,22725.84,5916.03,143008.21,125.95,65.69,306.95
"SA","Unincorporated SA",130.118804931641,-31.5930976867676,0.9,2.97,4.54,21692.45,5685.01,135229.08,115.48,60.94,276.94
"SA","Unincorporated SA",130.15576171875,-31.5828647613525,0.9,2.97,4.43,22012.88,5759.8,137499.92,148.58,75.71,373.93
"SA","Unincorporated SA",130.215423583984,-31.5854110717773,0.9,2.97,4.5,21640.28,5677.3,134661.32,129.14,67.05,316.83
"SA","Unincorporated SA",130.254623413086,-31.5786609649658,0.9,2.97,4.44,20948.53,5520.06,129572.23,141.42,72.57,352.56
"SA","Unincorporated SA",130.329986572266,-31.5885944366455,0.9,2.97,4.56,20082.99,5327.25,123035.85,109.79,58.27,261.35
"SA","Unincorporated SA",130.372512817383,-31.5924854278564,0.9,2.97,4.61,19760.35,5267.1,120101.47,105.62,56.34,249.72
"SA","Unincorporated SA",130.413299560547,-31.5909996032715,0.9,2.97,4.59,18937.43,5075.65,114246.92,111.48,59.03,266.25
"SA","Unincorporated SA",130.47998046875,-31.599027633667,0.9,2.97,4.56,19219.03,5134.6,116527.37,115.47,60.88,277.33
"SA","Unincorporated SA",130.524963378906,-31.5999298095703,0.9,2.97,4.53,19896.97,5277.75,121979.1,123.67,64.64,300.53
"SA","Unincorporated SA",130.587509155273,-31.5946865081787,0.9,2.97,4.51,20101.08,5312.35,123993.2,124.54,65.12,302.31
"SA","Unincorporated SA",130.632949829102,-31.6012134552002,0.9,2.97,4.58,20106.39,5297.24,124748.06,112.59,59.59,268.97
"SA","Unincorporated SA",130.681182861328,-31.6080703735352,0.9,2.97,4.55,21762.95,5669.5,137163.35,119.71,62.92,288.53
"SA","Unincorporated SA",130.739852905273,-31.609992980957,0.9,2.96,4.6,23198.39,5967.2,149082.2,107.5,57.34,253.9
"SA","Unincorporated SA",130.789611816406,-31.6127681732178,0.9,2.96,4.59,22333.76,5762.85,143054.77,118.84,62.56,285.81
"SA","Unincorporated SA",130.838287353516,-31.6013946533203,0.9,2.96,4.45,25017.01,6354.82,163749.96,157.4,79.87,397.75
"SA","Unincorporated SA",130.885787963867,-31.5917358398438,0.9,2.96,4.41,24009.25,6107.42,157184.19,159.36,80.9,401.99
"SA","Unincorporated SA",130.931213378906,-31.5771179199219,0.9,2.96,4.33,23310.03,5939.29,152448.53,184.65,91.75,480.07
"SA","Unincorporated SA",131.437576293945,-31.5794830322266,0.9,2.98,4.5,16144.18,4263.02,101277.13,123.03,64.61,296.39
"SA","Unincorporated SA",131.485397338867,-31.5951290130615,0.9,2.99,4.55,11505.24,3177.25,67914.38,96.67,52.45,222.76
"NSW","Port Macquarie-Hastings",152.850280761719,-31.6034832000732,0.9,2.31,3.17,1178423.61,206469.52,11989570.88,360.33,169.09,997.61
"WASouth","Wanneroo",115.60888671875,-31.5414657592773,0.9,2.06,3.72,103915.16,24627.84,707193,108.61,57.92,256.38
"SA","Unincorporated SA",130.997650146484,-31.5531368255615,0.9,2.96,4.32,24634.71,6212.56,163638.09,195.52,96.39,513.92
"SA","Unincorporated SA",131.023834228516,-31.5464344024658,0.9,2.96,4.34,24623.2,6203.06,163895.74,184.45,91.71,478.98
"SA","Unincorporated SA",131.380752563477,-31.5541572570801,0.9,2.99,4.29,12393.24,3380.88,74479.02,164.28,82.99,417.43
"NSW","Port Macquarie-Hastings",152.86848449707,-31.545295715332,0.9,2.31,3.17,1160582.03,203834.12,11767562.47,323.03,154.35,871.21
"WASouth","Wanneroo",115.579460144043,-31.5047473907471,0.9,2.06,3.85,95052.32,22820.02,635345.23,81.32,45.07,182.2
"SA","Unincorporated SA",131.073684692383,-31.5080394744873,0.9,2.96,3.79,25571.52,6386.82,172538.91,663.1,276.99,2187.84
"SA","Unincorporated SA",131.278564453125,-31.5154247283936,0.9,2.97,4.13,19148.78,4934.15,124316.13,280.41,131.51,789.71
"SA","Unincorporated SA",131.315841674805,-31.5268726348877,0.9,2.99,4.22,13866.95,3722.46,85237.64,196.24,96.78,515.32
"NSW","Port Macquarie-Hastings",152.907958984375,-31.5069618225098,0.9,2.31,3.24,1285431.11,222787.77,13268772.66,266.51,131.43,686.72
"WASouth","Wanneroo",115.559936523438,-31.4665012359619,0.9,2.08,3.35,62518.15,15517.18,403173.96,186.32,92.16,488.28
"SA","Unincorporated SA",131.15950012207,-31.4727210998535,0.9,2.97,4.02,21141.93,5365.3,140292.86,338.8,154.99,986.89
"SA","Unincorporated SA",131.206832885742,-31.4837474822998,0.9,2.98,4.11,16251.08,4264.07,103139.82,258.95,122.85,717.55
"NSW","Port Macquarie-Hastings",152.940475463867,-31.4754161834717,0.9,2.3,3.22,1402540.97,239838.42,14756099.32,286.9,139.18,758.22
"WASouth","Gingin",115.536895751953,-31.418773651123,0.9,2.08,3.35,59333.81,14842.03,378466.94,184.78,91.49,483.62
"NSW","Port Macquarie-Hastings",152.928359985352,-31.4325828552246,0.9,2.3,3.1,1742828.98,291689.76,18822533.9,442.31,197.53,1323.76
"WASouth","Gingin",115.504013061523,-31.3707466125488,0.9,2.08,3.36,53733.57,13564.19,339113.89,174.57,87.24,450.71
