"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"TAS","King Island",143.921173095703,-39.6032028198242,0.32,1.8,3.32,168.96,85.7,425.25,10.09,7.37,15.55
"VIC","Colac Otway",143.561721801758,-38.8537979125977,0.32,1.81,2.9,129.07,65.71,328.68,7.57,5.76,11.02
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.32,5.4,5.7,30.2,19.45,54.63,18.24,11.96,33.08
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.32,1.3,2.19,54.78,32.97,108.16,22.17,14.51,39.74
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.32,2.84,3.6,85.58,47.67,189.38,4.27,3.49,5.65
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.54,1.82,2.98,2355.49,888.16,8665.48,12.62,8.96,20.18
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.54,4.53,2.15,680.35,307.11,1948,16.67,11.39,28.09
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.54,4.29,4.62,416.17,186.19,1246.43,31.58,19.75,60.17
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.54,1.83,2.49,15653.08,4518.35,83398.23,37.4,22.78,74.03
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.54,2.29,2.86,249.52,120.36,672.01,53.74,31.4,112.16
"TAS","King Island",143.921173095703,-39.6032028198242,0.54,2.02,3.54,5746.04,1827.79,27279.16,49.46,29.09,102.56
"VIC","Unincorporated Vic",149.903854370117,-37.5688209533691,0.54,1.81,2.48,3640.69,1235.27,15800.42,72.9,42.16,152.14
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.54,5.62,5.92,314.34,149.65,854.82,134.27,65.85,366.7
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.54,1.52,2.41,858.94,364.64,2707.2,186.64,91.28,499.6
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.54,3.06,3.82,1823.52,679.16,6966.01,11.57,8.22,18.57
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.94,2.22,3.38,741170.83,135694.7,7156100.16,82.53,45.46,186.85
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.94,4.93,2.55,85320.5,21366.92,532501.18,134.01,69.08,332.41
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.94,4.69,5.02,36263.61,8940.99,244768.76,407.35,179.92,1251.47
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.94,2.23,2.89,20031371.84,2303420.29,368517545.76,546.88,230.67,1795.47
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.94,2.69,3.26,14884.48,4184.02,83508.46,1028.1,403.51,3700.14
"TAS","King Island",143.921173095703,-39.6032028198242,0.94,2.42,3.94,3500147.65,476615.58,52678302.92,889.79,353.18,3166.7
"VIC","Unincorporated Vic",149.903854370117,-37.5688209533691,0.94,2.21,2.88,1581604.53,240965.36,20360738.78,1748.13,673.7,6291.18
"WANorth","Broome",122.361793518066,-16.9978256225586,0.94,6.02,6.4,22090.13,6008.11,128432.13,581.66,230.77,2140.52
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.94,1.92,2.81,128017.18,28809.8,944340.71,8979.08,2585.22,49842.67
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.94,3.46,4.22,474679.95,85060.06,4893722.49,70.94,39.16,161.68
"NSW","Wollongong",150.916046142578,-34.4743537902832,0,1.31,1.84,1,1,1,1,1,1
"NT","East Arnhem",136.368728637695,-13.844162940979,0,1.53,3.43,1,1,1,1,1,1
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0,2.14,3.52,1,1,1,1,1,1
"QLDSouth","Bundaberg",152.412872314453,-24.7567653656006,0,1.97,2.58,1,1,1,1,1,1
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0,2.17,3.91,1,1,1,1,1,1
"TAS","Burnie",145.898666381836,-41.0429649353027,0,1.89,3.21,1,1,1,1,1,1
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0,1.52,2.68,1,1,1,1,1,1
"WANorth","Broome",122.211631774902,-18.0006217956543,0,5.12,1.66,1,1,1,1,1,1
"WASouth","Esperance",121.899345397949,-33.8684463500977,0,1.11,2.37,1,1,1,1,1,1
NA,"Whitsunday",149.818756103516,-20.0906581878662,0,2.52,1.87,1,1,1,1,1,1
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.9,2.18,3.34,416998.56,82064.62,3655847.35,68.4,38.64,149.57
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.9,4.89,2.51,52628.54,13979.69,303841.69,108.8,57.69,259.64
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.9,4.65,4.98,23198.02,6070.74,144360.11,315.43,144.25,923.88
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.9,2.19,2.85,9794890.82,1234906.01,159194491.22,418.2,183,1305.28
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.9,2.65,3.22,9889.42,2934.16,51557.89,765.36,312.59,2608.43
"TAS","King Island",143.921173095703,-39.6032028198242,0.9,2.38,3.9,1843378.87,273239.86,24720184.04,666.48,275.15,2247.22
"VIC","Unincorporated Vic",149.903854370117,-37.5688209533691,0.9,2.17,2.84,861601.61,142211.68,9949036.9,1272.3,510.63,4335.95
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.9,5.98,6.28,14532.27,4218.19,76993.88,3520.88,1073.81,18787.17
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.9,1.88,2.77,77613.57,18611.12,525857.31,6095.5,1850.48,31455.99
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.9,3.42,4.18,272177.31,52474.72,2540819.62,59.17,33.5,130.22
