"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WASouth","Denmark",117.105262756348,-35.0841407775879,0.2,1.23,3.27,9.58,7.23,13.94,2.03,1.86,2.29
"WASouth","Albany",117.421051025391,-35.0841407775879,0.2,1.23,3.3,9.91,7.46,14.49,1.94,1.79,2.17
"WASouth","Albany",117.473686218262,-35.0841407775879,0.2,1.23,3.64,9.46,7.16,13.7,1.8,1.68,1.99
"WASouth","Albany",117.684211730957,-35.0841407775879,0.2,1.21,2.43,12.41,9.11,18.7,2.56,2.26,3.02
"WASouth","Albany",117.736839294434,-35.0841407775879,0.2,1.22,2.44,11.97,8.82,17.94,2.54,2.25,2.99
"WASouth","Albany",117.789474487305,-35.0841407775879,0.2,1.22,2.44,11.57,8.56,17.27,2.52,2.24,2.96
"WASouth","Albany",118,-35.0841407775879,0.2,1.21,3.18,12.96,9.46,19.66,2.03,1.86,2.29
"SA","Yorke Peninsula",136.894729614258,-35.0841407775879,0.2,2.14,3.79,5.26,4.26,6.97,1.91,1.75,2.15
"SA","Yorke Peninsula",137.789474487305,-35.0841407775879,0.2,2.18,2.83,4.25,3.55,5.4,2.38,2.13,2.77
"WASouth","Manjimup",116.473686218262,-35.041072845459,0.2,1.24,3.86,8.55,6.53,12.26,1.8,1.67,1.99
"WASouth","Denmark",116.789474487305,-35.041072845459,0.2,1.25,3.28,7.9,6.12,11.12,1.94,1.79,2.17
"WASouth","Denmark",117.157897949219,-35.041072845459,0.2,1.23,3.28,9.9,7.43,14.51,2.01,1.84,2.26
"WASouth","Denmark",117.210525512695,-35.041072845459,0.2,1.23,3.23,9.74,7.33,14.22,2,1.83,2.24
"WASouth","Denmark",117.263160705566,-35.041072845459,0.2,1.23,3.29,9.77,7.35,14.27,1.95,1.79,2.17
"WASouth","Denmark",117.315788269043,-35.041072845459,0.2,1.23,3.3,9.65,7.28,14.04,1.94,1.78,2.16
"WASouth","Albany",117.368423461914,-35.041072845459,0.2,1.24,3.32,9.35,7.08,13.52,1.92,1.77,2.14
"WASouth","Albany",118.052635192871,-35.041072845459,0.2,1.21,2.64,12.93,9.45,19.6,2.4,2.14,2.8
"WASouth","Albany",118.105262756348,-35.041072845459,0.2,1.21,3,13.09,9.54,19.9,2.16,1.96,2.48
"SA","Yorke Peninsula",136.894729614258,-35.041072845459,0.2,2.15,3.78,5.21,4.23,6.89,1.92,1.76,2.16
"SA","Marion",138.473678588867,-35.0410614013672,0.2,2.5,3.35,3.55,3.02,4.4,2,1.83,2.26
"NSW","Shoalhaven",150.736846923828,-35.041072845459,0.2,1.41,2.89,296.23,126.09,1003.82,2.15,1.92,2.53
"WASouth","Manjimup",116.421051025391,-34.9979820251465,0.2,1.25,3.77,8.27,6.34,11.78,1.84,1.71,2.05
"WASouth","Albany",118.157897949219,-34.9979820251465,0.2,1.21,2.41,13.37,9.72,20.39,2.65,2.33,3.16
"WASouth","Albany",118.210510253906,-34.9979820251465,0.2,1.21,2.77,13.52,9.81,20.69,2.33,2.09,2.71
"SA","Lower Eyre Peninsula",135.947357177734,-34.9979820251465,0.2,1.76,3.68,6.73,5.28,9.32,2.16,1.94,2.5
"SA","Lower Eyre Peninsula",136,-34.9979820251465,0.2,1.75,3.08,6.96,5.43,9.69,2.67,2.33,3.22
"SA","Yorke Peninsula",136.947357177734,-34.9979820251465,0.2,2.15,3.64,5.11,4.16,6.74,1.88,1.73,2.11
"SA","Holdfast Bay",138.473663330078,-34.9979820251465,0.2,2.5,3.32,3.55,3.02,4.39,2.04,1.86,2.31
"NSW","Shoalhaven",150.789474487305,-34.9979820251465,0.2,1.32,2.83,310.86,131.02,1070.12,2.09,1.88,2.43
"WASouth","Manjimup",116.368423461914,-34.9548645019531,0.2,1.25,3.47,7.99,6.16,11.3,1.98,1.82,2.23
"WASouth","Albany",118.263160705566,-34.9548645019531,0.2,1.2,2.88,14.08,10.16,21.7,2.25,2.02,2.59
"WASouth","Albany",118.315788269043,-34.9548645019531,0.2,1.2,2.65,14.22,10.25,21.98,2.5,2.22,2.93
"WASouth","Albany",118.368423461914,-34.9548645019531,0.2,1.2,2.69,15.08,10.77,23.58,2.48,2.2,2.9
"WASouth","Albany",118.421051025391,-34.9548645019531,0.2,1.2,2.68,16.46,11.61,26.19,2.49,2.22,2.93
"SA","Lower Eyre Peninsula",135.631576538086,-34.9548645019531,0.2,1.75,4.01,6.96,5.44,9.69,1.93,1.77,2.19
"SA","Lower Eyre Peninsula",135.684204101562,-34.9548645019531,0.2,1.76,2.87,6.79,5.32,9.41,3.15,2.66,4
"SA","Lower Eyre Peninsula",135.894729614258,-34.9548645019531,0.2,1.77,3.51,6.29,4.97,8.61,2.36,2.09,2.8
"SA","Lower Eyre Peninsula",136.052627563477,-34.9548645019531,0.2,1.74,2.97,7.55,5.82,10.72,2.88,2.49,3.52
"SA","Yorke Peninsula",136.947372436523,-34.9548530578613,0.2,2.15,3.64,5.11,4.16,6.74,1.87,1.73,2.09
"SA","Yorke Peninsula",137.842102050781,-34.9548530578613,0.2,2.19,2.53,4.15,3.47,5.26,3.03,2.62,3.69
"SA","Charles Sturt",138.473678588867,-34.9548530578613,0.2,2.5,3.33,3.55,3.03,4.4,2.03,1.85,2.3
"NSW","Shoalhaven",150.789474487305,-34.9548645019531,0.2,1.32,2.28,334.12,139.05,1172.49,3.03,2.57,3.82
"WASouth","Manjimup",116.263160705566,-34.9117279052734,0.2,1.25,3.6,8.24,6.33,11.72,1.91,1.76,2.14
"WASouth","Manjimup",116.315788269043,-34.9117279052734,0.2,1.25,3.48,7.89,6.09,11.13,1.97,1.8,2.21
"WASouth","Albany",118.473686218262,-34.9117164611816,0.2,1.19,2.72,18.99,13.13,31.08,2.46,2.19,2.89
"SA","Lower Eyre Peninsula",135.578948974609,-34.9117279052734,0.2,1.76,4.02,6.47,5.11,8.9,1.91,1.74,2.15
"SA","Lower Eyre Peninsula",135.736846923828,-34.9117279052734,0.2,1.76,2.88,6.42,5.07,8.81,3.1,2.63,3.93
"SA","Lower Eyre Peninsula",135.789474487305,-34.9117279052734,0.2,1.77,3.3,6.25,4.95,8.55,2.6,2.26,3.15
"SA","Lower Eyre Peninsula",135.842102050781,-34.9117279052734,0.2,1.77,3.51,6.1,4.85,8.32,2.35,2.08,2.78
"SA","Lower Eyre Peninsula",136.052627563477,-34.9117279052734,0.2,1.74,2.98,7.6,5.85,10.82,2.89,2.5,3.53
"SA","Yorke Peninsula",137,-34.9117279052734,0.2,2.15,3.4,5.09,4.14,6.7,2,1.83,2.26
"SA","Yorke Peninsula",137.421051025391,-34.9117279052734,0.2,2.18,3.39,4.29,3.56,5.54,1.94,1.78,2.18
"SA","Yorke Peninsula",137.842102050781,-34.9117164611816,0.2,2.19,2.53,4.15,3.48,5.26,3.03,2.62,3.69
"SA","Charles Sturt",138.473678588867,-34.9117164611816,0.2,2.5,3.18,3.56,3.03,4.42,2.15,1.95,2.46
"NSW","Shoalhaven",150.789474487305,-34.9117279052734,0.2,1.32,2.28,356.33,146.65,1271.7,3.02,2.56,3.8
"WASouth","Manjimup",116.052635192871,-34.8685684204102,0.2,1.24,3.59,8.73,6.64,12.61,1.9,1.75,2.12
"WASouth","Manjimup",116.105247497559,-34.8685684204102,0.2,1.24,3.74,8.73,6.64,12.58,1.84,1.71,2.05
"WASouth","Manjimup",116.157897949219,-34.8685684204102,0.2,1.24,3.75,8.51,6.5,12.2,1.83,1.7,2.03
"WASouth","Manjimup",116.210510253906,-34.8685684204102,0.2,1.25,3.66,8.12,6.25,11.55,1.86,1.72,2.06
"WASouth","Albany",118.473686218262,-34.8685684204102,0.2,1.19,2.1,19.9,13.67,32.82,3.31,2.82,4.14
"SA","Lower Eyre Peninsula",135.526321411133,-34.8685684204102,0.2,1.77,3.8,6.18,4.91,8.43,1.97,1.79,2.23
"SA","Yorke Peninsula",137.052627563477,-34.8685684204102,0.2,2.15,3.4,5.07,4.12,6.68,1.99,1.82,2.25
"SA","Yorke Peninsula",137.105255126953,-34.8685684204102,0.2,2.15,3.37,5.01,4.08,6.59,2,1.83,2.27
"SA","Yorke Peninsula",137.157897949219,-34.8685684204102,0.2,2.16,3.37,4.93,4.02,6.48,2,1.82,2.25
"SA","Yorke Peninsula",137.210510253906,-34.8685684204102,0.2,2.16,3.38,4.79,3.92,6.26,1.98,1.81,2.24
"SA","Yorke Peninsula",137.263153076172,-34.8685684204102,0.2,2.17,3.37,4.59,3.78,5.96,1.97,1.81,2.22
"SA","Yorke Peninsula",137.315780639648,-34.8685684204102,0.2,2.17,3.38,4.44,3.67,5.74,1.96,1.79,2.2
"SA","Yorke Peninsula",137.421051025391,-34.8685684204102,0.2,2.19,3.33,4.21,3.5,5.4,1.96,1.79,2.2
"SA","Yorke Peninsula",137.842102050781,-34.8685684204102,0.2,2.19,2.47,4.14,3.46,5.24,3.22,2.77,3.95
"NSW","Shoalhaven",150.789474487305,-34.8685684204102,0.2,1.32,2.32,373.17,152.47,1346.02,2.7,2.33,3.32
"WASouth","Manjimup",115.947364807129,-34.8253746032715,0.2,1.31,3.85,7.59,5.85,10.77,1.78,1.65,1.97
NA,"Albany",118.473686218262,-34.8253746032715,0.2,1.18,1.91,20.99,14.32,34.99,3.9,3.22,5.07
"SA","Lower Eyre Peninsula",135.473678588867,-34.8253860473633,0.2,1.77,3.56,5.97,4.76,8.08,2.11,1.9,2.43
"SA","Lower Eyre Peninsula",136.052627563477,-34.8253860473633,0.2,1.75,2.34,7.37,5.69,10.43,3.5,2.97,4.36
"SA","Yorke Peninsula",137.421051025391,-34.8253860473633,0.2,2.19,3.34,4.18,3.48,5.35,1.95,1.79,2.19
"SA","Yorke Peninsula",137.894729614258,-34.8253860473633,0.2,2.19,2.47,4.1,3.43,5.19,3.19,2.74,3.91
"SA","Port Adelaide Enfield",138.473678588867,-34.8253746032715,0.2,2.5,3.18,3.57,3.04,4.44,2.15,1.95,2.46
"NSW","Shoalhaven",150.789474487305,-34.8253860473633,0.2,1.32,2.33,372.83,152.33,1344.94,2.68,2.32,3.3
"WASouth","Manjimup",115.947364807129,-34.7821807861328,0.2,1.32,3.86,7.08,5.51,9.94,1.77,1.64,1.95
"WASouth","Albany",118.473686218262,-34.7821807861328,0.2,1.18,1.92,21.75,14.75,36.55,3.84,3.18,5
NA,"Lower Eyre Peninsula",135.421051025391,-34.7821807861328,0.2,1.78,3.75,5.8,4.64,7.83,2,1.82,2.29
"SA","Lower Eyre Peninsula",136.052627563477,-34.7821807861328,0.2,1.75,2.34,7.26,5.62,10.27,3.47,2.95,4.31
"SA","Yorke Peninsula",137.421051025391,-34.7821807861328,0.2,2.19,3.34,4.19,3.49,5.36,1.95,1.79,2.19
"SA","Yorke Peninsula",137.894729614258,-34.7821807861328,0.2,2.19,2.47,4.1,3.44,5.2,3.19,2.74,3.92
"NSW","Kiama",150.842102050781,-34.7821807861328,0.2,1.32,2.71,393.63,159.99,1428,2.18,1.95,2.55
"WASouth","Manjimup",115.894737243652,-34.7389526367188,0.2,1.32,3.84,6.77,5.29,9.45,1.78,1.65,1.97
"WASouth","Albany",118.526313781738,-34.7389526367188,0.2,1.18,2.07,20.32,13.91,33.7,3.28,2.76,4.18
"WASouth","Albany",118.578948974609,-34.7389526367188,0.2,1.18,2.34,20.28,13.88,33.64,3.03,2.6,3.76
"WASouth","Albany",118.631576538086,-34.7389526367188,0.2,1.18,2.34,21.29,14.46,35.74,3.06,2.61,3.8
"SA","Lower Eyre Peninsula",135.368423461914,-34.7389526367188,0.2,1.78,3.27,5.83,4.66,7.86,2.16,1.94,2.49
"SA","Lower Eyre Peninsula",135.421051025391,-34.7389526367188,0.2,1.78,3.29,5.61,4.51,7.54,2.12,1.92,2.45
"SA","Port Lincoln",135.894729614258,-34.7389526367188,0.2,1.74,3.42,7.66,5.86,11.01,2.72,2.36,3.33
"SA","Lower Eyre Peninsula",135.947372436523,-34.738941192627,0.2,1.74,3.44,7.61,5.83,10.92,2.67,2.32,3.25
"SA","Lower Eyre Peninsula",136,-34.7389526367188,0.2,1.74,2.34,7.47,5.74,10.66,3.57,3.02,4.46
"SA","Yorke Peninsula",137.473678588867,-34.738941192627,0.2,2.19,3.35,4.07,3.4,5.19,1.94,1.78,2.17
"SA","Yorke Peninsula",137.894729614258,-34.7389526367188,0.2,2.19,2.47,4.11,3.44,5.21,3.19,2.74,3.92
"SA","Playford",138.473678588867,-34.738941192627,0.2,2.42,3.1,3.58,3.05,4.45,2.15,1.95,2.46
"NSW","Kiama",150.894729614258,-34.7389526367188,0.2,1.32,2.57,429.78,172.75,1581.98,2.37,2.09,2.82
"WASouth","Manjimup",115.894737243652,-34.6957054138184,0.2,1.33,3.65,6.5,5.1,8.99,1.85,1.71,2.06
"WASouth","Albany",118.684211730957,-34.6957054138184,0.2,1.18,2.55,24.5,16.27,42.49,2.79,2.42,3.37
"SA","Lower Eyre Peninsula",135.315780639648,-34.6957054138184,0.2,1.78,3.51,5.55,4.46,7.45,2.07,1.87,2.37
"SA","Yorke Peninsula",137.473663330078,-34.6957054138184,0.2,2.2,3.35,4.04,3.38,5.14,1.93,1.77,2.17
"SA","Yorke Peninsula",137.894729614258,-34.6957054138184,0.2,2.19,2.51,4.11,3.44,5.21,3.03,2.62,3.67
"SA","Playford",138.473663330078,-34.6957054138184,0.2,2.42,2.83,3.58,3.05,4.44,2.54,2.26,2.99
"NSW","Kiama",150.894729614258,-34.6957054138184,0.2,1.42,2.53,436.67,175.35,1608.18,2.58,2.25,3.14
"WASouth","Manjimup",115.842094421387,-34.6524314880371,0.2,1.33,3.65,6.43,5.06,8.88,1.85,1.71,2.05
"WASouth","Albany",118.736839294434,-34.6524314880371,0.2,1.17,2.36,28.41,18.4,51.1,3.15,2.69,3.95
"SA","Lower Eyre Peninsula",135.315780639648,-34.6524314880371,0.2,1.79,3.68,5.24,4.23,6.98,1.92,1.75,2.17
