"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Karratha",116.761528015137,-20.5944957733154,0.04,3.87,4.27,1.54,1.45,1.67,1.3,1.25,1.38
"WASouth","Albany",117.89533996582,-35.1227531433105,0.04,1.22,2.39,1.69,1.58,1.86,1.31,1.26,1.37
NA,"Whitsunday",149.818756103516,-20.0906581878662,0.04,2.73,3.97,1.75,1.62,1.93,1.2,1.17,1.24
"NSW","Bega Valley",149.979293823242,-37.4584083557129,0.14,1.58,2.65,7.56,5.81,10.77,2.27,2.02,2.68
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.14,2.41,2.91,4.51,3.66,6,2.54,2.22,3.06
"QLDNorth","Livingstone",150.83283996582,-23.2611503601074,0.14,3.11,3.82,5.06,4.08,6.79,2.53,2.23,3
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.14,1.88,2.46,14.63,10.29,23.56,3.44,2.89,4.4
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.14,2.31,3.01,3.46,2.91,4.39,2.4,2.13,2.83
"TAS","George Town",146.880859375,-41.0161895751953,0.14,2.19,2.91,6.78,5.29,9.46,3.32,2.84,4.1
"VIC","Wellington",147.695892333984,-38.0107536315918,0.14,1.15,1.66,8.5,6.37,12.65,3.46,2.92,4.36
"WANorth","Shark Bay",113.431434631348,-26.5368385314941,0.14,1.45,3.2,9.43,7.02,14.07,2.48,2.2,2.92
"WASouth","Albany",117.89533996582,-35.1227531433105,0.14,1.32,2.49,6.31,4.97,8.73,2.56,2.27,3.03
NA,"Mackay",150.928894042969,-20.4258937835693,0.14,3.82,5.27,9.52,7.07,14.24,1.91,1.75,2.16
"NSW","Bega Valley",149.979293823242,-37.4584083557129,0.32,1.76,2.83,101.8,55.9,228.67,6.54,5,9.55
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.32,2.59,3.09,31.21,19.44,59.99,8.43,6.22,12.91
"QLDNorth","Livingstone",150.209350585938,-22.3132019042969,0.32,3.32,3.87,30.31,19.22,56.42,8.35,6.26,12.38
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.32,2.06,2.64,460.48,206.06,1369.6,16.88,11.3,29.57
"SA","Lower Eyre Peninsula",135.326873779297,-34.6681861877441,0.32,2.18,3.19,15.28,10.69,24.79,7.42,5.67,10.74
"TAS","George Town",146.880859375,-41.0161895751953,0.32,2.37,3.09,79.38,45.12,170.02,15.51,10.84,25.2
"VIC","Mornington Peninsula",145.028579711914,-38.2162742614746,0.32,1.46,2.06,70.47,40.69,147.73,17.12,11.65,29.03
"WANorth","Derby-West Kimberley",123.475112915039,-17.3458309173584,0.32,5.6,6.08,37.34,22.87,73.13,7.98,5.89,12.28
