"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
114.157897949219,-21.9531078338623,0.32,1.95,3.28,959.26,331.36,4473.04,4.36,3.43,6.24
150.736846923828,-35.0841293334961,0.32,1.61,3.61,8960.2,2282.45,63303.31,3.43,2.86,4.45
153.157897949219,-30.3042221069336,0.32,1.73,3.51,24788.57,5781.1,191394.67,4.2,3.39,5.7
142.263153076172,-38.4138069152832,0.32,1.5,2.92,87.31,48.03,197.41,8.76,6.31,14.01
138.421051025391,-35.1702117919922,0.32,2.97,4.15,8.1,6.22,11.56,3.06,2.65,3.73
115.473686218262,-20.6785373687744,0.32,1.92,3.28,2972.49,954.29,14535.48,4.63,3.59,6.8
146.473678588867,-38.7018203735352,0.32,2.29,3.34,233.89,112.83,632.54,7.07,5.4,10.26
149.473678588867,-21.7577362060547,0.32,4.14,5.15,265.71,115.7,868.36,6.16,4.63,9.36
145.315795898438,-15.4779872894287,0.32,2.17,2.87,437.26,191.16,1362.84,27.77,16.92,56.27
144.631576538086,-38.0832366943359,0.32,1.48,1.81,78.33,41.18,194.97,16.29,11.04,27.9
105.684211730957,-10.4021415710449,0.32,1.29,3.22,10191381.28,924546.77,310339665.53,7.05,5.21,10.91
145,-41.8324203491211,0.32,2.32,5.43,219.72,103.37,625.9,3.32,2.8,4.22
128.894729614258,-31.7470779418945,0.32,2.43,4.04,24.37,16.06,42.87,3.85,3.2,4.95
139.684204101562,-36.9564933776855,0.32,2.07,4.43,13.36,9.62,20.74,3.24,2.76,4.03
137.210525512695,-36.0258827209473,0.32,2.42,3.6,31.33,20.36,55.69,8.97,6.51,14.11
145.315795898438,-40.7651672363281,0.32,2.38,3.67,82.61,45.78,184.96,5.59,4.38,7.87
134.842086791992,-33.650936126709,0.32,2.25,4.66,11.18,8.21,16.95,2.56,2.25,3.05
115.684211730957,-32.5933265686035,0.32,1.39,4.36,21.87,14.71,37.29,2.27,2.04,2.62
113.473686218262,-25.9435787200928,0.32,1.63,3.49,155.57,73.82,448.09,5.07,4.05,6.91
144.473663330078,-38.2900199890137,0.32,1.73,2.78,55.81,31.16,126.83,10.59,7.46,17.45
137.789474487305,-32.6376457214355,0.32,3.16,4.26,6.2,4.88,8.58,3.25,2.76,4.05
153.105270385742,-26.3686771392822,0.32,1.75,3.03,2731.21,899.84,12783.69,8.51,6.21,13.3
132.421051025391,-32.0151634216309,0.32,2.53,4.66,13.95,10.02,21.73,2.93,2.54,3.56
123.578941345215,-17.2954330444336,0.32,5.48,5.81,145.79,67.28,447.46,18.35,11.43,37.04
136.57893371582,-35.1702117919922,0.32,2.13,4.61,20.34,13.91,33.84,3.05,2.62,3.75
123.736831665039,-16.0856781005859,0.32,5.48,6.24,163.43,78.11,462.11,5.64,4.23,8.71
115,-21.464204788208,0.32,1.95,3.54,1084.76,383.31,4771.09,3.11,2.58,4.11
140,-37.5011253356934,0.32,1.53,4.35,62.28,37.13,124.18,3.7,3.09,4.76
142.631576538086,-10.7125587463379,0.32,2.38,3.2,1787.85,591.61,8588.95,26,16.4,49.45
147.105270385742,-43.3047904968262,0.32,1.59,1.83,75.99,40.06,188.64,39.16,22.11,89.84
142.421051025391,-10.4539003372192,0.32,2.39,3.07,1306.02,452.86,5870.06,39.74,24.09,79.02
135.736846923828,-35.7701301574707,0.32,1.93,5.31,167.13,84.54,423.19,2.81,2.43,3.42
139.526321411133,-37.542854309082,0.32,1.45,4.66,188.75,95.06,477.96,3.3,2.81,4.14
136.157897949219,-34.9979820251465,0.32,2.1,3.53,24.24,16.1,42,5.02,4.04,6.79
146.526321411133,-38.9068374633789,0.32,2.33,3.29,120.46,61.95,302.42,7.7,5.86,11.18
114.157897949219,-26.3686771392822,0.32,1.77,3.57,31.16,18.72,64.27,3.87,3.21,5.01
153.526321411133,-24.9457492828369,0.32,2.6,4.38,5750.15,1757.59,29413.89,5.43,4.21,7.8
115.684211730957,-32.3269386291504,0.32,1.33,4.45,33.76,21.4,62.47,2.21,1.99,2.54
115.736831665039,-31.9705352783203,0.32,1.5,4.41,49.54,29.73,98.88,2.21,1.99,2.55
114.105262756348,-22.0994510650635,0.32,2.01,3.25,188.46,83.41,615.4,6.3,4.68,9.8
115.526313781738,-20.826171875,0.32,1.96,3.2,794.7,308.95,2967.72,4.32,3.37,6.27
137.947372436523,-35.684700012207,0.32,2.15,2.96,9.58,7.22,13.98,4.58,3.73,6.07
136.578948974609,-33.9569969177246,0.32,2.46,3.5,11.22,8.29,16.8,3.76,3.16,4.75
136.052627563477,-34.8685684204102,0.32,2.1,2.83,25.25,16.65,44.27,7.5,5.77,10.7
137.789474487305,-32.9914245605469,0.32,3.18,4.25,6.05,4.78,8.32,3.27,2.78,4.11
137.368423461914,-34.9117164611816,0.32,2.61,4.19,11.01,8.09,16.7,2.94,2.55,3.55
149.894729614258,-21.0227813720703,0.32,4.1,5.26,711.66,277.78,2660.05,7.66,5.59,12.09
148,-37.9173889160156,0.32,1.33,2.77,140.66,71.4,357.97,4.13,3.34,5.6
150.315780639648,-20.0866088867188,0.32,3.93,5.29,774.42,308.78,2759.9,5.79,4.39,8.68
153.631576538086,-28.8398017883301,0.32,1.65,3.34,27683.08,6555.47,205652.28,5.01,3.93,7.06
130.526321411133,-12.6194276809692,0.32,4.23,5.42,1056.46,400.52,4052.89,4.49,3.61,6.11
138.052627563477,-35.5991897583008,0.32,2.17,3.03,9.11,6.89,13.23,4.28,3.52,5.6
152.210525512695,-32.7262115478516,0.32,1.68,3.45,4709.68,1359.16,27374.44,4.16,3.36,5.61
144.842102050781,-14.5121669769287,0.32,2.15,2.97,1226.83,461.29,4729.24,25.51,16.3,47.4
152.473678588867,-22.001895904541,0.32,3.1,4.82,1278.37,485.3,4825.19,4.48,3.58,6.17
