"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"SA","Port Augusta",137.789474487305,-32.6376457214355,0.09,2.93,4.03,1.67,1.56,1.83,1.39,1.33,1.48
"QLDSouth","Noosa",153.105270385742,-26.3686771392822,0.09,1.52,2.8,9.26,6.77,14.29,1.83,1.67,2.07
"SA","Unincorporated SA",132.421051025391,-32.0151634216309,0.09,2.3,4.43,2.1,1.91,2.38,1.35,1.3,1.43
"WANorth","Derby-West Kimberley",123.578941345215,-17.2954330444336,0.09,5.25,5.58,4.06,3.27,5.57,2.27,1.98,2.76
"SA","Unincorporated SA",136.57893371582,-35.1702117919922,0.09,1.9,4.38,2.33,2.1,2.69,1.37,1.31,1.45
"WANorth","Derby-West Kimberley",123.736831665039,-16.0856781005859,0.09,5.25,6.01,4.19,3.41,5.62,1.63,1.5,1.84
"WANorth","Ashburton",115,-21.464204788208,0.09,1.72,3.31,7.14,5.33,10.83,1.38,1.31,1.49
"SA","Wattle Range",140,-37.5011253356934,0.09,1.3,4.12,3.2,2.76,3.88,1.44,1.37,1.55
"QLDNorth","Torres",142.631576538086,-10.7125587463379,0.09,2.15,2.97,8.22,6.02,12.78,2.5,2.2,3
"TAS","Huon Valley",147.105270385742,-43.3047904968262,0.09,1.36,1.6,3.38,2.82,4.37,2.81,2.39,3.54
"QLDNorth","Torres",142.421051025391,-10.4539003372192,0.09,2.16,2.84,7.52,5.58,11.48,2.82,2.45,3.42
NA,"Unincorporated SA",135.736846923828,-35.7701301574707,0.09,1.7,5.08,4.22,3.48,5.48,1.34,1.28,1.41
NA,"Robe",139.526321411133,-37.542854309082,0.09,1.22,4.43,4.37,3.6,5.67,1.4,1.34,1.49
"SA","Unincorporated SA",136.157897949219,-34.9979820251465,0.09,1.87,3.3,2.45,2.18,2.86,1.57,1.48,1.71
"VIC","Unincorporated Vic",146.526321411133,-38.9068374633789,0.09,2.1,3.06,3.85,3.19,4.99,1.78,1.64,1.97
"WANorth","Shark Bay",114.157897949219,-26.3686771392822,0.09,1.54,3.34,2.63,2.28,3.22,1.46,1.39,1.57
NA,"Fraser Coast",153.526321411133,-24.9457492828369,0.09,2.37,4.15,11.41,8.18,18.06,1.61,1.5,1.78
"WASouth","Rockingham",115.684211730957,-32.3269386291504,0.09,1.1,4.22,2.69,2.37,3.2,1.25,1.21,1.3
"WASouth","Nedlands",115.736831665039,-31.9705352783203,0.09,1.27,4.18,3,2.6,3.64,1.25,1.21,1.3
"WANorth","Exmouth",114.105262756348,-22.0994510650635,0.09,1.78,3.02,4.36,3.47,6.09,1.68,1.54,1.9
"WANorth","Ashburton",115.526313781738,-20.826171875,0.09,1.73,2.97,6.54,5.02,9.48,1.51,1.41,1.68
"SA","Kangaroo Island",137.947372436523,-35.684700012207,0.09,1.92,2.73,1.89,1.74,2.1,1.53,1.45,1.66
"SA","Cleve",136.578948974609,-33.9569969177246,0.09,2.23,3.27,1.97,1.81,2.21,1.45,1.38,1.55
"SA","Lower Eyre Peninsula",136.052627563477,-34.8685684204102,0.09,1.87,2.6,2.48,2.21,2.9,1.76,1.64,1.95
"SA","Whyalla",137.789474487305,-32.9914245605469,0.09,2.95,4.02,1.66,1.55,1.81,1.4,1.33,1.49
"SA","Yorke Peninsula",137.368423461914,-34.9117164611816,0.09,2.38,3.96,1.96,1.8,2.21,1.35,1.3,1.43
"QLDNorth","Mackay",149.894729614258,-21.0227813720703,0.09,3.87,5.03,6.34,4.87,9.19,1.77,1.62,2.02
"VIC","East Gippsland",148,-37.9173889160156,0.09,1.1,2.54,4.02,3.32,5.23,1.49,1.4,1.62
NA,"Mackay",150.315780639648,-20.0866088867188,0.09,3.7,5.06,6.49,5.01,9.28,1.64,1.52,1.84
"NSW","Ballina",153.631576538086,-28.8398017883301,0.09,1.42,3.11,17.76,11.84,31.21,1.57,1.47,1.73
"NT","Unincorporated NT",130.526321411133,-12.6194276809692,0.09,4,5.19,7.09,5.39,10.34,1.53,1.43,1.66
"SA","Yankalilla",138.052627563477,-35.5991897583008,0.09,1.94,2.8,1.86,1.72,2.07,1.5,1.42,1.62
"NSW","Port Stephens",152.210525512695,-32.7262115478516,0.09,1.45,3.22,10.79,7.61,17.7,1.49,1.41,1.62
"QLDNorth","Cook",144.842102050781,-14.5121669769287,0.09,1.92,2.74,7.39,5.61,10.8,2.49,2.19,2.96
"QLDNorth","Gladstone",152.473678588867,-22.001895904541,0.09,2.87,4.59,7.48,5.69,10.86,1.52,1.43,1.67
"VIC","Bass Coast",145.368408203125,-38.5785293579102,0.09,2.19,4.12,2.81,2.41,3.49,1.48,1.4,1.61
NA,"Dundas",126.052635192871,-32.3269386291504,0.09,1.42,3.27,2.64,2.32,3.15,1.46,1.39,1.57
"VIC","Mornington Peninsula",144.789474487305,-38.3313064575195,0.09,1.26,3.03,2.98,2.54,3.72,1.55,1.46,1.69
"QLDNorth","Cook",143.421051025391,-12.5680675506592,0.09,1.86,2.72,7.02,5.34,10.26,2.53,2.22,3.06
"QLDNorth","Gladstone",151.894729614258,-23.4096336364746,0.09,2.63,4,9.19,6.76,14.05,1.77,1.62,2
"VIC","Mornington Peninsula",145.052627563477,-38.4962158203125,0.09,2.18,3.94,2.88,2.46,3.58,1.56,1.46,1.71
"VIC","Kingston (Vic.)",145.105270385742,-38.0832252502441,0.09,1.31,1.64,2.7,2.33,3.32,1.99,1.81,2.26
"WANorth","Wyndham-East Kimberley",124.157897949219,-15.3257808685303,0.09,5.24,6.33,4.25,3.49,5.59,1.52,1.42,1.68
"VIC","Bass Coast",145.368408203125,-38.5373840332031,0.09,2.19,3.34,2.79,2.4,3.45,1.73,1.59,1.94
"VIC","Wyndham",144.684204101562,-38.000358581543,0.09,1.26,1.59,3.26,2.73,4.18,2.17,1.95,2.52
"VIC","Surf Coast",144.368423461914,-38.3313064575195,0.09,1.26,2.04,3.18,2.69,4.03,2.09,1.88,2.45
"SA","Elliston",134.263153076172,-33.9133415222168,0.09,1.88,4.79,2.39,2.14,2.78,1.29,1.24,1.35
"QLDNorth","Cook",143.578948974609,-13.1836938858032,0.09,1.86,2.76,7.07,5.39,10.27,2.98,2.51,3.83
"VIC","Mornington Peninsula",145,-38.2487106323242,0.09,1.26,1.6,2.97,2.53,3.72,2.07,1.87,2.37
"QLDNorth","Cook",145.473678588867,-14.6649475097656,0.09,1.92,2.81,7.49,5.66,11.05,2.66,2.3,3.28
