"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Kangaroo Island",136.842102050781,-36.0258827209473,1.83764232574511,1.88969804726595,1.94323189899386,3.49130732686116,3.60454766044552,3.72100347069298
"SA","Kangaroo Island",137.263153076172,-36.0258827209473,1.83726711040405,1.88920407405778,1.9426157957707,3.2224322355869,3.32039691705313,3.42114332069459
"SA","Kangaroo Island",137.315795898438,-36.0258827209473,1.83927279683095,1.89184457206108,1.94590913092262,3.59141158615939,3.70734547170627,3.82657131773789
"SA","Kangaroo Island",137.368423461914,-36.0258827209473,1.84183000359975,1.89521114984537,1.95010806193669,3.61833513948093,3.73338832199348,3.85170845729287
"SA","Kangaroo Island",137.631576538086,-36.0258827209473,1.34359966471562,1.39427921068566,1.44639781014668,2.41443125219991,2.50229313360572,2.59264986662752
"SA","Coorong",139.578948974609,-36.0258827209473,1.4323097540036,1.51106656612502,1.59205969002176,3.21985080071665,3.38189442800005,3.54853930896613
"SA","Kangaroo Island",136.631576538086,-35.9833145141602,1.8399955448166,1.89279607404435,1.9470958824084,4.24277999295893,4.40503440236943,4.57189605065348
"SA","Kangaroo Island",137.631576538086,-35.9833145141602,1.34455093877019,1.39553156858568,1.44795980121418,2.41791508649604,2.50646053189467,2.59752023881382
"SA","Coorong",139.526321411133,-35.9833145141602,1.42966297163456,1.50758206153501,1.58771367595966,3.2154830062648,3.37649225191038,3.54207337981318
"SA","Kangaroo Island",136.578948974609,-35.9407272338867,1.84355197778697,1.89747813901282,1.95293554186845,4.28294179694366,4.4518010368197,4.62545506074472
"SA","Kangaroo Island",137.631576538086,-35.9407272338867,1.34527975622862,1.39649106106565,1.44915651876834,2.03798661667528,2.10883804959725,2.18170131983811
"SA","Coorong",139.421051025391,-35.9407272338867,1.42306798876651,1.49889972771583,1.57688472053853,3.19247788496268,3.34616114069882,3.50420825608362
"SA","Coorong",139.473678588867,-35.9407272338867,1.42739526112674,1.5045966072847,1.58399009752307,3.19896463923687,3.35390641456926,3.51324778540753
"SA","Kangaroo Island",136.526321411133,-35.8981170654297,1.49526954700518,1.55062056846173,1.60754329067311,3.80902716046311,3.98590079107804,4.1677967755978
"SA","Kangaroo Island",137.684204101562,-35.8981170654297,1.34708223436933,1.39886403416239,1.45211618611301,2.04247587360614,2.11424253945076,2.18804703079365
"SA","Kangaroo Island",137.736831665039,-35.8981170654297,1.34809089278923,1.40019193891762,1.45377240225228,2.36567581557997,2.45105624375425,2.53886106229891
"SA","Kangaroo Island",137.789474487305,-35.8981170654297,1.34885451971203,1.40119725826259,1.45502627691288,2.15235442973385,2.22909426498316,2.30801313963975
"SA","Kangaroo Island",137.842086791992,-35.8981170654297,1.34999324557356,1.40269639757139,1.45689606366413,2.39518946642818,2.4828732303835,2.57304678828244
"SA","Kangaroo Island",137.894729614258,-35.8981170654297,1.35165002980238,1.40487756377437,1.45961650174795,2.39640863462786,2.48431704937333,2.57472163705609
"SA","Kangaroo Island",137.947357177734,-35.8981170654297,1.35398279632402,1.40794866465034,1.46344690209563,2.76687427543648,2.8736514838928,2.98346064758162
"SA","Kangaroo Island",138,-35.8981170654297,1.35577702252848,1.41031077402438,1.46639301976906,2.79062404152561,2.89896950946239,3.01039146360048
