"state","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WASouth",128.894729614258,-31.7470779418945,0.54,2.65,4.26,218.93,108.27,567.91,9.71,7.13,14.85
"SA",139.684204101562,-36.9564933776855,0.54,2.29,4.65,79.42,45.64,166.76,7.28,5.56,10.52
"SA",137.210525512695,-36.0258827209473,0.54,2.64,3.82,334.55,161.59,883.21,40.53,23.59,87.07
"TAS",145.315795898438,-40.7651672363281,0.54,2.6,3.89,1717.98,634.37,6694.12,18.27,12.1,32.48
"SA",134.842086791992,-33.650936126709,0.54,2.47,4.88,58.81,34.9,118.58,4.89,3.94,6.57
"WASouth",115.684211730957,-32.5933265686035,0.54,1.61,4.58,182.4,93.44,448.78,4,3.34,5.09
"WANorth",113.473686218262,-25.9435787200928,0.54,1.85,3.71,4998.74,1420.9,29797.37,15.47,10.6,26.09
"VIC",144.473663330078,-38.2900199890137,0.54,1.95,3,886.29,331.41,3541.36,53.67,29.69,124.57
"SA",137.789474487305,-32.6376457214355,0.54,3.38,4.48,21.71,14.49,37.57,7.3,5.56,10.61
"QLDSouth",153.105270385742,-26.3686771392822,0.54,1.97,3.25,629288.34,96640.08,8511033.31,37.11,21.81,78.78
"SA",132.421051025391,-32.0151634216309,0.54,2.75,4.88,85.45,48.84,180.46,6.15,4.83,8.54
"WANorth",123.578941345215,-17.2954330444336,0.54,5.7,6.03,4480.37,1215.04,29726.99,135.67,61.01,443.67
"SA",136.57893371582,-35.1702117919922,0.54,2.35,4.83,161.44,84.98,380.92,6.55,5.07,9.3
"WANorth",123.736831665039,-16.0856781005859,0.54,5.7,6.46,5432.48,1562.92,31387.88,18.55,11.39,38.54
"WANorth",115,-21.464204788208,0.54,2.17,3.76,132473.01,22894.8,1613121.15,6.79,4.96,10.85
"SA",140,-37.5011253356934,0.54,1.75,4.57,1066.53,445.51,3417.65,9.1,6.7,13.92
"QLDNorth",142.631576538086,-10.7125587463379,0.54,2.6,3.42,307827.38,47622.4,4350347.74,244.2,112.18,722.55
"TAS",147.105270385742,-43.3047904968262,0.54,1.81,2.05,1492.09,506.43,6920.25,487.52,185.83,1979.3
"QLDNorth",142.421051025391,-10.4539003372192,0.54,2.61,3.29,181203.82,30334.69,2288679.13,499.62,214.69,1593.7
NA,135.736846923828,-35.7701301574707,0.54,2.15,5.53,5641.89,1786.03,27057.35,5.7,4.48,7.98
NA,139.526321411133,-37.542854309082,0.54,1.67,4.88,6927.13,2177.12,33225.31,7.51,5.7,10.97
"SA",136.157897949219,-34.9979820251465,0.54,2.32,3.75,216.9,108.8,548.57,15.24,10.53,25.31
"VIC",146.526321411133,-38.9068374633789,0.54,2.55,3.51,3246.38,1056.9,15347.56,31.32,19.75,58.75
"WANorth",114.157897949219,-26.3686771392822,0.54,1.99,3.79,331.54,140.35,1124.66,9.82,7.17,15.16
NA,153.526321411133,-24.9457492828369,0.54,2.82,4.6,2210337.93,299088.53,34728200.5,17.37,11.31,32.05
