NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
SA,SA,Unincorporated SA,Unincorporated_SA,130.4736786,-31.61274147,0.06,1.98,3.58,1.64,1.54,1.79,1.25,1.21,1.3
SA,SA,Unincorporated SA,Unincorporated_SA,130.5263214,-31.61274147,0.06,1.98,3.6,1.64,1.54,1.78,1.24,1.21,1.29
SA,SA,Unincorporated SA,Unincorporated_SA,130.5789337,-31.61274147,0.06,1.99,3.62,1.64,1.54,1.78,1.24,1.21,1.29
SA,SA,Unincorporated SA,Unincorporated_SA,130.6315765,-31.61274147,0.06,1.98,3.62,1.64,1.54,1.78,1.24,1.21,1.29
SA,SA,Unincorporated SA,Unincorporated_SA,130.6842041,-31.61274147,0.06,1.98,3.79,1.64,1.54,1.79,1.23,1.19,1.27
SA,SA,Unincorporated SA,Unincorporated_SA,130.7368317,-31.61274147,0.06,1.98,3.79,1.65,1.55,1.8,1.23,1.19,1.27
SA,SA,Unincorporated SA,Unincorporated_SA,130.7894745,-31.61274147,0.06,1.98,3.78,1.66,1.55,1.81,1.22,1.19,1.27
SA,SA,Unincorporated SA,Unincorporated_SA,130.8420868,-31.61274147,0.06,1.98,3.15,1.66,1.56,1.81,1.3,1.26,1.36
SA,SA,Unincorporated SA,Unincorporated_SA,130.8947296,-31.61274147,0.06,1.98,3.15,1.66,1.56,1.81,1.3,1.26,1.36
SA,SA,Unincorporated SA,Unincorporated_SA,130.9473572,-31.61274147,0.06,1.98,3.5,1.66,1.56,1.81,1.25,1.21,1.3
SA,SA,Unincorporated SA,Unincorporated_SA,131.421051,-31.61274147,0.06,1.99,3.74,1.63,1.53,1.77,1.22,1.19,1.26
SA,SA,Unincorporated SA,Unincorporated_SA,131.4736786,-31.61274147,0.06,1.99,3.7,1.62,1.52,1.76,1.22,1.19,1.26
NSW,NSW,Port Macquarie-Hastings,Port_Macquarie-Hastings,152.8947296,-31.61274147,0.06,1.24,2.41,6.33,4.79,9.47,1.34,1.29,1.42
WASouth,WA,Wanneroo,Wanneroo,115.578949,-31.56792068,0.06,1.03,3.28,2.22,2.01,2.56,1.2,1.17,1.24
SA,SA,Unincorporated SA,Unincorporated_SA,131,-31.56792068,0.06,1.98,3.6,1.66,1.56,1.81,1.23,1.2,1.28
SA,SA,Unincorporated SA,Unincorporated_SA,131.0526276,-31.56792068,0.06,1.98,3.67,1.65,1.55,1.8,1.22,1.19,1.27
