NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
SA,SA,Kangaroo Island,Kangaroo_Island,138.1052704,-35.72743988,0.06,1.52,1.96,1.62,1.53,1.76,1.51,1.43,1.63
SA,SA,Yankalilla,Yankalilla,138.1578979,-35.72743988,0.06,1.51,1.96,1.65,1.55,1.8,1.52,1.44,1.64
SA,SA,Yankalilla,Yankalilla,138.2105103,-35.72743988,0.06,1.5,1.95,1.69,1.58,1.85,1.53,1.44,1.65
SA,SA,Coorong,Coorong,139.1578979,-35.72743988,0.06,1.54,3.04,1.58,1.49,1.7,1.3,1.26,1.37
NSW,NSW,Eurobodalla,Eurobodalla,150.3157959,-35.72743988,0.06,1.24,2.78,4.95,3.88,7.01,1.24,1.2,1.29
SA,SA,Kangaroo Island,Kangaroo_Island,136.6842041,-35.68471146,0.06,1.97,4.01,1.76,1.64,1.94,1.2,1.17,1.24
SA,SA,Kangaroo Island,Kangaroo_Island,136.7368469,-35.68470001,0.06,1.98,3.82,1.75,1.63,1.92,1.2,1.17,1.24
SA,SA,Kangaroo Island,Kangaroo_Island,136.7894745,-35.68471146,0.06,1.98,3.7,1.73,1.62,1.9,1.2,1.17,1.24
SA,SA,Kangaroo Island,Kangaroo_Island,137.6315765,-35.68471146,0.06,2.03,2.91,1.57,1.49,1.69,1.27,1.23,1.32
SA,SA,Kangaroo Island,Kangaroo_Island,137.6842041,-35.68471146,0.06,2.04,2.86,1.56,1.48,1.68,1.28,1.24,1.34
SA,SA,Kangaroo Island,Kangaroo_Island,137.7368469,-35.68470001,0.06,2.04,2.78,1.56,1.47,1.68,1.3,1.26,1.37
SA,SA,Kangaroo Island,Kangaroo_Island,137.7894745,-35.68471146,0.06,2.04,2.79,1.55,1.47,1.67,1.3,1.26,1.36
SA,SA,Kangaroo Island,Kangaroo_Island,137.8421021,-35.68470001,0.06,1.56,2.29,1.54,1.46,1.66,1.31,1.26,1.37
SA,SA,Kangaroo Island,Kangaroo_Island,137.8947296,-35.68471146,0.06,1.56,2.2,1.54,1.46,1.65,1.33,1.28,1.41
SA,SA,Kangaroo Island,Kangaroo_Island,138,-35.68471146,0.06,1.56,2.13,1.52,1.45,1.63,1.36,1.3,1.44
SA,SA,Kangaroo Island,Kangaroo_Island,138.0526276,-35.68471146,0.06,1.56,2.12,1.53,1.45,1.64,1.37,1.31,1.45
SA,SA,Yankalilla,Yankalilla,138.1052704,-35.68471146,0.06,1.55,2.11,1.55,1.47,1.66,1.39,1.33,1.47
SA,SA,Yankalilla,Yankalilla,138.2631531,-35.68471146,0.06,1.5,2.6,1.7,1.59,1.86,1.41,1.34,1.51
SA,SA,Yankalilla,Yankalilla,138.3157959,-35.68471146,0.06,1.5,2.76,1.7,1.59,1.85,1.37,1.31,1.46
SA,SA,Yankalilla,Yankalilla,138.3684235,-35.68471146,0.06,1.5,2.76,1.69,1.59,1.85,1.37,1.31,1.46
SA,SA,Yankalilla,Yankalilla,138.421051,-35.68471146,0.06,1.5,2.64,1.69,1.58,1.84,1.4,1.33,1.5
SA,SA,Victor Harbor,Victor_Harbor,138.4736786,-35.68471146,0.06,1.5,2.64,1.69,1.58,1.84,1.4,1.33,1.5
SA,SA,Victor Harbor,Victor_Harbor,138.5263214,-35.68471146,0.06,1.5,2.71,1.69,1.58,1.84,1.39,1.32,1.48
SA,SA,Coorong,Coorong,139.1052704,-35.68471146,0.06,1.53,3.04,1.59,1.5,1.72,1.31,1.26,1.38
NSW,NSW,Eurobodalla,Eurobodalla,150.3157959,-35.68471146,0.06,1.24,2.69,4.97,3.9,7.05,1.24,1.21,1.3
SA,SA,Kangaroo Island,Kangaroo_Island,136.8420868,-35.64196396,0.06,1.98,3.59,1.72,1.6,1.88,1.2,1.17,1.24
SA,SA,Kangaroo Island,Kangaroo_Island,136.8947296,-35.64196396,0.06,1.99,3.6,1.7,1.59,1.85,1.2,1.17,1.24
SA,SA,Kangaroo Island,Kangaroo_Island,136.9473572,-35.64196396,0.06,1.99,3.38,1.68,1.58,1.83,1.21,1.18,1.25
SA,SA,Kangaroo Island,Kangaroo_Island,137,-35.64196396,0.06,2,3.13,1.66,1.56,1.81,1.23,1.2,1.28
SA,SA,Kangaroo Island,Kangaroo_Island,137.0526276,-35.64196396,0.06,2,3.37,1.65,1.55,1.78,1.22,1.18,1.26
SA,SA,Kangaroo Island,Kangaroo_Island,137.1052551,-35.64196396,0.06,2.01,3.3,1.63,1.53,1.76,1.22,1.19,1.26
SA,SA,Kangaroo Island,Kangaroo_Island,137.6315765,-35.64196396,0.06,2.03,2.9,1.57,1.49,1.7,1.27,1.23,1.32
SA,SA,Yankalilla,Yankalilla,138.0526276,-35.64196396,0.06,1.57,2.13,1.51,1.44,1.62,1.35,1.3,1.43
SA,SA,Victor Harbor,Victor_Harbor,138.578949,-35.64196396,0.06,1.5,2.74,1.69,1.58,1.85,1.38,1.32,1.48
SA,SA,Coorong,Coorong,139.0526276,-35.64196396,0.06,1.53,2.9,1.61,1.51,1.74,1.34,1.29,1.43
NSW,NSW,Shoalhaven,Shoalhaven,150.3684235,-35.64196396,0.06,1.24,2.86,4.99,3.91,7.08,1.23,1.19,1.28
SA,SA,Kangaroo Island,Kangaroo_Island,137.1578979,-35.59918976,0.06,2.01,3.3,1.61,1.52,1.75,1.22,1.19,1.26
SA,SA,Kangaroo Island,Kangaroo_Island,137.6315765,-35.59918976,0.06,2.03,2.9,1.58,1.49,1.7,1.27,1.23,1.32
SA,SA,Coorong,Coorong,139.0526276,-35.59918976,0.06,1.53,2.91,1.6,1.51,1.74,1.34,1.29,1.43
NSW,NSW,Shoalhaven,Shoalhaven,150.421051,-35.59918976,0.06,1.24,2.76,5.05,3.95,7.18,1.24,1.2,1.3
SA,SA,Kangaroo Island,Kangaroo_Island,137.2105255,-35.55638504,0.06,2.01,3.31,1.62,1.53,1.75,1.22,1.19,1.27
SA,SA,Kangaroo Island,Kangaroo_Island,137.2631531,-35.55639648,0.06,2.01,3.2,1.63,1.53,1.76,1.23,1.2,1.28
SA,SA,Kangaroo Island,Kangaroo_Island,137.3157959,-35.55638504,0.06,2.01,3.13,1.63,1.53,1.76,1.24,1.2,1.28
SA,SA,Kangaroo Island,Kangaroo_Island,137.3684235,-35.55638504,0.06,2.01,3.07,1.63,1.53,1.76,1.24,1.21,1.29
SA,SA,Kangaroo Island,Kangaroo_Island,137.421051,-35.55639648,0.06,2.01,3.07,1.62,1.53,1.75,1.24,1.21,1.29
SA,SA,Kangaroo Island,Kangaroo_Island,137.4736786,-35.55638504,0.06,2.02,3.01,1.61,1.52,1.74,1.25,1.21,1.3
SA,SA,Kangaroo Island,Kangaroo_Island,137.5263214,-35.55639648,0.06,2.02,2.96,1.59,1.51,1.72,1.26,1.22,1.31
SA,SA,Kangaroo Island,Kangaroo_Island,137.578949,-35.55638504,0.06,2.03,2.9,1.58,1.49,1.7,1.27,1.23,1.32
SA,SA,Yankalilla,Yankalilla,138.0526276,-35.55639648,0.06,1.56,2.32,1.52,1.44,1.63,1.3,1.25,1.36
SA,SA,Alexandrina,Alexandrina,138.6842041,-35.55639648,0.06,1.5,2.47,1.69,1.58,1.85,1.45,1.37,1.57
SA,SA,Alexandrina,Alexandrina,138.7368469,-35.55639648,0.06,1.5,2.51,1.68,1.57,1.83,1.44,1.36,1.55
SA,SA,Coorong,Coorong,139.0526276,-35.55639648,0.06,1.53,2.91,1.6,1.51,1.74,1.34,1.29,1.43
NSW,NSW,Shoalhaven,Shoalhaven,150.421051,-35.55639648,0.06,1.24,2.65,5.05,3.95,7.2,1.25,1.21,1.31
SA,SA,Yankalilla,Yankalilla,138.1052704,-35.51356506,0.06,1.56,2.33,1.53,1.45,1.64,1.29,1.25,1.35
SA,SA,Alexandrina,Alexandrina,138.7894745,-35.51357651,0.06,1.51,2.64,1.66,1.56,1.81,1.4,1.33,1.5
SA,SA,Alexandrina,Alexandrina,138.8421021,-35.51357651,0.06,1.51,2.64,1.65,1.55,1.8,1.4,1.33,1.5
SA,SA,Alexandrina,Alexandrina,138.8947296,-35.51357651,0.06,1.52,2.64,1.64,1.54,1.79,1.4,1.33,1.5
SA,SA,Coorong,Coorong,139.1052704,-35.51356506,0.06,1.54,2.91,1.58,1.49,1.71,1.34,1.28,1.42
NSW,NSW,Shoalhaven,Shoalhaven,150.421051,-35.51357651,0.06,1.24,2.65,5.07,3.96,7.22,1.25,1.21,1.31
SA,SA,Yankalilla,Yankalilla,138.1578979,-35.47073746,0.06,1.56,2.4,1.52,1.44,1.63,1.27,1.23,1.32
SA,SA,Yankalilla,Yankalilla,138.2631531,-35.47073746,0.06,1.57,2.39,1.51,1.43,1.62,1.26,1.22,1.32
SA,SA,Alexandrina,Alexandrina,138.9473724,-35.47072601,0.06,1.53,2.65,1.61,1.52,1.76,1.4,1.33,1.5
SA,SA,Coorong,Coorong,139.1578979,-35.47073746,0.06,1.55,2.92,1.55,1.47,1.68,1.34,1.28,1.42
SA,SA,Coorong,Coorong,139.2105255,-35.47072601,0.06,1.56,2.92,1.54,1.45,1.66,1.33,1.28,1.41
SA,SA,Coorong,Coorong,139.2631531,-35.47073746,0.06,1.56,2.93,1.53,1.44,1.64,1.33,1.28,1.41
NSW,NSW,Shoalhaven,Shoalhaven,150.421051,-35.47073746,0.06,1.24,2.76,5.06,3.95,7.2,1.24,1.2,1.3
SA,SA,Yankalilla,Yankalilla,138.2631531,-35.4278717,0.06,1.57,2.39,1.51,1.43,1.62,1.26,1.22,1.32
SA,SA,Alexandrina,Alexandrina,138.9473724,-35.4278717,0.06,1.53,2.65,1.61,1.51,1.75,1.39,1.33,1.49
SA,SA,Coorong,Coorong,139.3157806,-35.4278717,0.06,1.57,2.93,1.52,1.44,1.64,1.33,1.27,1.4
NSW,NSW,Shoalhaven,Shoalhaven,150.4736786,-35.4278717,0.06,1.27,2.69,5.11,3.98,7.29,1.25,1.21,1.31
SA,SA,Yankalilla,Yankalilla,138.3157806,-35.38498688,0.06,1.58,2.39,1.5,1.43,1.61,1.26,1.22,1.32
SA,SA,Alexandrina,Alexandrina,139,-35.38498688,0.06,1.54,2.66,1.59,1.49,1.72,1.39,1.32,1.48
SA,SA,Alexandrina,Alexandrina,139.0526276,-35.38498688,0.06,1.54,2.92,1.58,1.48,1.71,1.34,1.29,1.42
SA,SA,Alexandrina,Alexandrina,139.1052551,-35.38498688,0.06,1.55,2.92,1.56,1.47,1.69,1.34,1.28,1.42
SA,SA,Murray Bridge,Murray_Bridge,139.3157806,-35.38498688,0.06,1.57,2.94,1.52,1.44,1.64,1.33,1.27,1.4
NSW,NSW,Shoalhaven,Shoalhaven,150.4736786,-35.38498688,0.06,1.27,2.69,5.1,3.98,7.27,1.25,1.21,1.31
SA,SA,Yankalilla,Yankalilla,138.3684235,-35.3420639,0.06,1.58,2.43,1.49,1.42,1.6,1.25,1.21,1.29
SA,SA,Murray Bridge,Murray_Bridge,139.1578979,-35.34207535,0.06,1.55,2.93,1.54,1.46,1.67,1.33,1.28,1.41
SA,SA,Murray Bridge,Murray_Bridge,139.2105255,-35.34207535,0.06,1.56,2.93,1.53,1.45,1.66,1.33,1.28,1.41
SA,SA,Murray Bridge,Murray_Bridge,139.2631531,-35.34207535,0.06,1.56,2.93,1.52,1.44,1.64,1.33,1.27,1.41
NSW,NSW,Shoalhaven,Shoalhaven,150.4736786,-35.34207535,0.06,1.27,2.75,5.07,3.96,7.22,1.24,1.21,1.3
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.8947296,-35.29914474,0.06,1.99,3.87,1.68,1.57,1.83,1.21,1.18,1.25
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.9473724,-35.29914474,0.06,2,3.58,1.67,1.56,1.81,1.23,1.19,1.27
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.29914474,0.06,1.59,2.45,1.48,1.41,1.59,1.23,1.2,1.28
NSW,NSW,Shoalhaven,Shoalhaven,150.5263214,-35.29914474,0.06,1.27,2.61,5.07,3.96,7.22,1.26,1.22,1.32
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.8421021,-35.25617599,0.06,1.99,4.02,1.68,1.57,1.84,1.2,1.17,1.25
SA,SA,Yorke Peninsula,Yorke_Peninsula,137,-35.25618744,0.06,2.01,3.42,1.64,1.54,1.78,1.24,1.2,1.28
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.0526276,-35.25618744,0.06,2.01,2.93,1.63,1.53,1.76,1.29,1.24,1.35
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.1052704,-35.25618744,0.06,2.01,2.94,1.62,1.52,1.75,1.29,1.24,1.35
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.1578979,-35.25618744,0.06,2.02,2.94,1.61,1.52,1.75,1.28,1.24,1.34
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.25618744,0.06,1.59,2.45,1.48,1.41,1.59,1.23,1.2,1.28
NSW,NSW,Shoalhaven,Shoalhaven,150.578949,-35.25617599,0.06,1.27,2.79,5.15,4.01,7.36,1.24,1.2,1.3
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.8421021,-35.21319962,0.06,1.99,3.92,1.68,1.57,1.83,1.21,1.18,1.25
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.2105255,-35.21321106,0.06,2.02,2.95,1.61,1.52,1.74,1.28,1.24,1.34
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.21321106,0.06,2.35,3.21,1.48,1.41,1.59,1.23,1.2,1.28
NSW,NSW,Shoalhaven,Shoalhaven,150.578949,-35.21321106,0.06,1.27,2.48,5.09,3.98,7.27,1.3,1.25,1.37
NSW,NSW,Shoalhaven,Shoalhaven,150.6315765,-35.21321106,0.06,1.27,2.47,5.14,4.01,7.35,1.3,1.25,1.37
NSW,NSW,Unincorp. Other Territories,Unincorp_Other_Territories,150.6842041,-35.21321106,0.06,1.27,2.72,5.21,4.06,7.46,1.26,1.22,1.32
NSW,NSW,Unincorp. Other Territories,Unincorp_Other_Territories,150.7368469,-35.21321106,0.06,1.27,2.92,5.35,4.15,7.7,1.23,1.19,1.29
WASouth,WA,Albany,Albany,117.5789337,-35.17021179,0.06,1.08,3.57,2.08,1.9,2.35,1.19,1.17,1.23
WASouth,WA,Albany,Albany,117.6315765,-35.17021179,0.06,1.08,3.57,2.09,1.91,2.36,1.19,1.17,1.23
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.8420868,-35.17021179,0.06,2,3.55,1.67,1.57,1.82,1.22,1.19,1.26
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.2631531,-35.17021179,0.06,2.02,2.96,1.61,1.52,1.74,1.28,1.24,1.33
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.3157806,-35.17021179,0.06,2.02,2.95,1.6,1.51,1.73,1.27,1.23,1.33
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.3684082,-35.17021179,0.06,2.02,2.96,1.59,1.5,1.72,1.27,1.23,1.33
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.5789337,-35.17021179,0.06,2.03,2.97,1.58,1.49,1.7,1.25,1.22,1.3
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.6315765,-35.17021179,0.06,2.03,2.98,1.58,1.49,1.7,1.24,1.21,1.29
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.6842041,-35.17021179,0.06,2.03,2.97,1.57,1.48,1.69,1.24,1.21,1.28
NSW,NSW,Unincorp. Other Territories,Unincorp_Other_Territories,150.7894745,-35.17021179,0.06,1.27,2.99,5.49,4.25,7.94,1.23,1.19,1.29
WASouth,WA,Albany,Albany,117.5263138,-35.12718582,0.06,1.09,3.48,1.99,1.83,2.23,1.2,1.17,1.23
WASouth,WA,Albany,Albany,117.6842117,-35.12718582,0.06,1.07,3.24,2.12,1.93,2.39,1.22,1.19,1.26
WASouth,WA,Albany,Albany,117.8421021,-35.12718582,0.06,1.07,3.31,2.12,1.93,2.39,1.21,1.18,1.25
WASouth,WA,Albany,Albany,117.9473648,-35.12718582,0.06,1.07,3.19,2.14,1.95,2.42,1.22,1.19,1.27
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.8947296,-35.12718582,0.06,2,3.56,1.65,1.55,1.8,1.21,1.18,1.25
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.421051,-35.12718582,0.06,2.02,2.97,1.59,1.5,1.71,1.26,1.23,1.32
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.4736786,-35.12718582,0.06,2.03,2.98,1.58,1.49,1.7,1.26,1.22,1.31
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.5263214,-35.12718582,0.06,2.03,2.98,1.57,1.49,1.69,1.26,1.22,1.31
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.7368469,-35.12718582,0.06,2.04,2.83,1.56,1.48,1.68,1.27,1.23,1.32
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.12718582,0.06,2.35,3.21,1.48,1.41,1.58,1.23,1.2,1.28
NSW,NSW,Unincorp. Other Territories,Unincorp_Other_Territories,150.7894745,-35.12718582,0.06,1.27,2.74,5.46,4.23,7.88,1.26,1.22,1.33
NA,NA,Manjimup,Manjimup,116.5263138,-35.08414078,0.06,1.1,3.66,1.92,1.77,2.14,1.2,1.17,1.24
WASouth,WA,Manjimup,Manjimup,116.578949,-35.08414078,0.06,1.1,3.51,1.9,1.76,2.12,1.21,1.18,1.25
WASouth,WA,Manjimup,Manjimup,116.6315765,-35.08414078,0.06,1.11,3.52,1.89,1.75,2.11,1.21,1.18,1.24
WASouth,WA,Manjimup,Manjimup,116.6842117,-35.08414078,0.06,1.11,3.34,1.9,1.75,2.11,1.21,1.18,1.25
WASouth,WA,Denmark,Denmark,116.8421021,-35.08414078,0.06,1.1,3.12,1.91,1.76,2.12,1.23,1.2,1.27
WASouth,WA,Denmark,Denmark,116.8947372,-35.08414078,0.06,1.1,3.13,1.91,1.76,2.12,1.23,1.2,1.27
WASouth,WA,Denmark,Denmark,116.9473648,-35.08414078,0.06,1.1,3.12,1.92,1.77,2.13,1.23,1.2,1.28
WASouth,WA,Denmark,Denmark,117,-35.08414078,0.06,1.1,3.08,1.93,1.78,2.15,1.24,1.21,1.29
WASouth,WA,Denmark,Denmark,117.0526352,-35.08414078,0.06,1.1,3.18,1.95,1.79,2.17,1.23,1.2,1.28
WASouth,WA,Denmark,Denmark,117.1052628,-35.08414078,0.06,1.09,3.13,1.97,1.81,2.2,1.24,1.2,1.28
WASouth,WA,Albany,Albany,117.421051,-35.08414078,0.06,1.09,3.16,1.99,1.83,2.23,1.22,1.19,1.26
WASouth,WA,Albany,Albany,117.4736862,-35.08414078,0.06,1.09,3.5,1.96,1.81,2.19,1.19,1.17,1.23
WASouth,WA,Albany,Albany,117.6842117,-35.08414078,0.06,1.07,2.29,2.13,1.94,2.41,1.33,1.28,1.39
WASouth,WA,Albany,Albany,117.7368393,-35.08414078,0.06,1.08,2.3,2.11,1.92,2.38,1.32,1.28,1.39
WASouth,WA,Albany,Albany,117.7894745,-35.08414078,0.06,1.08,2.3,2.08,1.9,2.35,1.32,1.27,1.39
WASouth,WA,Albany,Albany,118,-35.08414078,0.06,1.07,3.04,2.16,1.96,2.44,1.24,1.2,1.28
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.8947296,-35.08414078,0.06,2,3.65,1.65,1.54,1.79,1.21,1.18,1.26
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.7894745,-35.08414078,0.06,2.04,2.69,1.54,1.46,1.66,1.3,1.25,1.36
WASouth,WA,Manjimup,Manjimup,116.4736862,-35.04107285,0.06,1.1,3.72,1.9,1.76,2.12,1.19,1.17,1.23
WASouth,WA,Denmark,Denmark,116.7894745,-35.04107285,0.06,1.11,3.14,1.86,1.72,2.06,1.22,1.19,1.26
WASouth,WA,Denmark,Denmark,117.1578979,-35.04107285,0.06,1.09,3.14,1.99,1.83,2.23,1.23,1.2,1.28
WASouth,WA,Denmark,Denmark,117.2105255,-35.04107285,0.06,1.09,3.09,1.98,1.82,2.22,1.23,1.2,1.27
WASouth,WA,Denmark,Denmark,117.2631607,-35.04107285,0.06,1.09,3.15,1.98,1.82,2.22,1.22,1.19,1.26
WASouth,WA,Denmark,Denmark,117.3157883,-35.04107285,0.06,1.09,3.16,1.97,1.81,2.21,1.22,1.19,1.26
WASouth,WA,Albany,Albany,117.3684235,-35.04107285,0.06,1.1,3.18,1.96,1.8,2.18,1.22,1.19,1.26
WASouth,WA,Albany,Albany,118.0526352,-35.04107285,0.06,1.07,2.5,2.16,1.96,2.44,1.3,1.26,1.36
WASouth,WA,Albany,Albany,118.1052628,-35.04107285,0.06,1.07,2.86,2.16,1.97,2.45,1.26,1.22,1.31
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.8947296,-35.04107285,0.06,2.01,3.64,1.64,1.54,1.78,1.22,1.18,1.26
SA,SA,Marion,Marion,138.4736786,-35.0410614,0.06,2.36,3.21,1.46,1.39,1.56,1.23,1.2,1.28
NSW,NSW,Shoalhaven,Shoalhaven,150.7368469,-35.04107285,0.06,1.27,2.75,5.51,4.27,7.95,1.26,1.22,1.32
WASouth,WA,Manjimup,Manjimup,116.421051,-34.99798203,0.06,1.11,3.63,1.88,1.74,2.1,1.2,1.17,1.24
WASouth,WA,Albany,Albany,118.1578979,-34.99798203,0.06,1.07,2.27,2.18,1.98,2.47,1.34,1.29,1.41
WASouth,WA,Albany,Albany,118.2105103,-34.99798203,0.06,1.07,2.63,2.18,1.98,2.48,1.29,1.25,1.35
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.9473572,-34.99798203,0.06,1.62,3.54,1.77,1.65,1.95,1.26,1.22,1.32
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,136,-34.99798203,0.06,1.61,2.94,1.79,1.66,1.98,1.34,1.29,1.42
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.9473572,-34.99798203,0.06,2.01,3.5,1.63,1.53,1.77,1.21,1.18,1.25
SA,SA,Holdfast Bay,Holdfast_Bay,138.4736633,-34.99798203,0.06,2.36,3.18,1.46,1.39,1.56,1.24,1.2,1.29
NSW,NSW,Shoalhaven,Shoalhaven,150.7894745,-34.99798203,0.06,1.18,2.69,5.59,4.32,8.11,1.25,1.21,1.3
WASouth,WA,Manjimup,Manjimup,116.3684235,-34.9548645,0.06,1.11,3.33,1.87,1.73,2.07,1.23,1.2,1.27
WASouth,WA,Albany,Albany,118.2631607,-34.9548645,0.06,1.06,2.74,2.21,2,2.52,1.27,1.23,1.33
WASouth,WA,Albany,Albany,118.3157883,-34.9548645,0.06,1.06,2.51,2.22,2.01,2.53,1.32,1.27,1.38
WASouth,WA,Albany,Albany,118.3684235,-34.9548645,0.06,1.06,2.55,2.26,2.04,2.58,1.31,1.27,1.38
WASouth,WA,Albany,Albany,118.421051,-34.9548645,0.06,1.06,2.54,2.32,2.09,2.66,1.32,1.27,1.38
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.6315765,-34.9548645,0.06,1.61,3.87,1.79,1.66,1.98,1.22,1.19,1.27
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.6842041,-34.9548645,0.06,1.62,2.73,1.78,1.65,1.96,1.41,1.34,1.52
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.8947296,-34.9548645,0.06,1.63,3.37,1.74,1.62,1.91,1.29,1.25,1.36
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,136.0526276,-34.9548645,0.06,1.6,2.83,1.83,1.7,2.04,1.37,1.32,1.46
SA,SA,Yorke Peninsula,Yorke_Peninsula,136.9473724,-34.95485306,0.06,2.01,3.5,1.63,1.53,1.77,1.21,1.18,1.25
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.8421021,-34.95485306,0.06,2.05,2.39,1.53,1.45,1.65,1.39,1.34,1.48
SA,SA,Charles Sturt,Charles_Sturt,138.4736786,-34.95485306,0.06,2.36,3.19,1.46,1.39,1.56,1.24,1.2,1.28
NSW,NSW,Shoalhaven,Shoalhaven,150.7894745,-34.9548645,0.06,1.18,2.14,5.72,4.39,8.33,1.39,1.33,1.49
WASouth,WA,Manjimup,Manjimup,116.2631607,-34.91172791,0.06,1.11,3.46,1.88,1.74,2.09,1.22,1.19,1.26
WASouth,WA,Manjimup,Manjimup,116.3157883,-34.91172791,0.06,1.11,3.34,1.86,1.72,2.06,1.22,1.19,1.27
WASouth,WA,Albany,Albany,118.4736862,-34.91171646,0.06,1.05,2.58,2.42,2.17,2.8,1.31,1.27,1.37
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.578949,-34.91172791,0.06,1.62,3.88,1.75,1.63,1.93,1.21,1.18,1.26
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.7368469,-34.91172791,0.06,1.62,2.74,1.75,1.63,1.92,1.4,1.34,1.51
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.7894745,-34.91172791,0.06,1.63,3.16,1.73,1.62,1.9,1.33,1.28,1.41
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.8421021,-34.91172791,0.06,1.63,3.37,1.72,1.61,1.89,1.29,1.25,1.36
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,136.0526276,-34.91172791,0.06,1.6,2.84,1.84,1.7,2.04,1.37,1.32,1.46
SA,SA,Yorke Peninsula,Yorke_Peninsula,137,-34.91172791,0.06,2.01,3.26,1.63,1.53,1.77,1.23,1.2,1.28
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.421051,-34.91172791,0.06,2.04,3.25,1.55,1.46,1.67,1.22,1.19,1.26
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.8421021,-34.91171646,0.06,2.05,2.39,1.53,1.45,1.65,1.4,1.34,1.48
SA,SA,Charles Sturt,Charles_Sturt,138.4736786,-34.91171646,0.06,2.36,3.04,1.46,1.4,1.56,1.26,1.22,1.31
NSW,NSW,Shoalhaven,Shoalhaven,150.7894745,-34.91172791,0.06,1.18,2.14,5.83,4.47,8.54,1.39,1.33,1.49
WASouth,WA,Manjimup,Manjimup,116.0526352,-34.86856842,0.06,1.1,3.45,1.92,1.76,2.14,1.21,1.18,1.25
WASouth,WA,Manjimup,Manjimup,116.1052475,-34.86856842,0.06,1.1,3.6,1.92,1.76,2.14,1.2,1.17,1.24
WASouth,WA,Manjimup,Manjimup,116.1578979,-34.86856842,0.06,1.1,3.61,1.9,1.75,2.12,1.2,1.17,1.24
WASouth,WA,Manjimup,Manjimup,116.2105103,-34.86856842,0.06,1.11,3.52,1.87,1.73,2.08,1.2,1.18,1.24
WASouth,WA,Albany,Albany,118.4736862,-34.86856842,0.06,1.05,1.96,2.45,2.19,2.85,1.43,1.36,1.53
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,135.5263214,-34.86856842,0.06,1.63,3.66,1.73,1.61,1.9,1.23,1.19,1.27
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.0526276,-34.86856842,0.06,2.01,3.26,1.63,1.53,1.77,1.23,1.2,1.28
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.1052551,-34.86856842,0.06,2.01,3.23,1.62,1.52,1.76,1.23,1.2,1.28
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.1578979,-34.86856842,0.06,2.02,3.23,1.61,1.52,1.75,1.23,1.2,1.28
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.2105103,-34.86856842,0.06,2.02,3.24,1.6,1.51,1.73,1.23,1.2,1.27
